"Data","Tipo","Sport","Titolo della scommessa","Quote","Puntata","Vincita","Profitto","Stato","Bookmaker","Tipster","Categoria","Competizioni","Tipo di scommessa","Closing Odds","Commissione","Bonus di vincita","Live","Scommessa gratuita","Cashout","Eachway","Commento"
"19/06/2025 23:29","Singola","Football","America de cali - Indipendiente Medellin (X2)","2.300","53.95","124.08","70.13","Vinto","Bet365","","","","","","","","","","","",""
"19/06/2025 21:44","Singola","Football","Plaza colonia - River plate (Over 2,5)","2.680","23.00","-23.00","-23.00","Perso","Betfair","","","","","","","","","","","",""
"16/06/2025 23:08","Singola","Football","Chapecoense - Ferroviaria (Over 2,5)","3.100","19.50","60.45","40.95","Vinto","Bet365","","","","","","","","","","","",""
"15/06/2025 17:35","Singola","Football","Novorizontino - Cuiaba (Entrambe segnano)","2.500","33.70","-33.70","-33.70","Perso","Bet365","","","","","","","","","","","",""
"15/06/2025 15:48","Singola","Football","San Telmo - Nuova Chicago (Over 1,5 casa)","3.250","21.05","68.41","47.36","Vinto","Bet365","","","","","","","","","","","",""
"14/06/2025 12:19","Singola","Football","Kups - Ilves (No goal)","2.340","31.00","72.54","41.54","Vinto","Betfair","","","","","","","","","","","",""
"14/06/2025 09:55","Singola","Football","Shonan bellomare - Machida (Entrambe segnano)","2.050","21.55","44.18","22.63","Vinto","Bet365","","","","","","","","","","","",""
"14/06/2025 00:38","Singola","Football","Real Cundinamarca - Atletico Huila (1)","3.400","40.00","-40.00","-40.00","Perso","Bet365","","","","","","","","","","","",""
"12/06/2025 23:00","Singola","Football","San paolo - Vasco da gama (Over 2,5)","2.700","34.20","92.34","58.14","Vinto","Bet365","","","","","","","","","","","",""
"11/06/2025 20:24","Singola","Football","Excursionistas - Deportivo Liniers (X2)","2.150","47.90","-47.90","-47.90","Perso","Bet365","","","","","","","","","","","",""
"08/06/2025 13:10","Singola","Football","Vancouver Whitecaps - Seattle Sunders (1)","3.500","39.35","137.72","98.37","Vinto","Bet365","","","","","","","","","","","",""
"07/06/2025 19:44","Singola","Football","Deportes Tolima - America de cali (1)","3.100","30.15","-30.15","-30.15","Perso","Bet365","","","","","","","","","","","",""
"07/06/2025 19:38","Singola","Football","Danubio - Montevideo (Over 2,5)","2.500","18.30","45.75","27.45","Vinto","Bet365","","","","","","","","","","","",""
"03/06/2025 19:00","Singola","Football","Los andes - CA Alvarado (over 2,5)","3.400","41.70","-41.70","-41.70","Perso","Bet365","","","","","","","","","","","",""
"02/06/2025 23:06","Singola","Football","Cobresal - Deportes Iquique (X2)","2.370","34.50","-34.50","-34.50","Perso","Bet365","","","","","","","","","","","",""
"02/06/2025 01:27","Singola","Football","Internacional - Fluminense (Casa over 1,5)","2.620","36.20","-36.20","-36.20","Perso","Bet365","","","","","","","","","","","",""
"01/06/2025 21:53","Singola","Football","Corinthians - Vitoria (Over 2,5)","2.600","42.50","-42.50","-42.50","Perso","Bet365","","","","","","","","","","","",""
"01/06/2025 21:49","Singola","Football","Gv San Josè - Nacional Potosi (1)","3.000","41.65","124.95","83.30","Vinto","Bet365","","","","","","","","","","","",""
"01/06/2025 18:54","Singola","Football","Racing Santander - Granda (Under 2,5)","2.000","30.50","-30.50","-30.50","Perso","Bet365","","","","","","","","","","","",""
"01/06/2025 16:39","Singola","Football","CD Antofagasta - Rangers de talca (1)","3.100","34.85","-34.85","-34.85","Perso","Bet365","","","","","","","","","","","",""
"01/06/2025 02:34","Singola","Football","San Martin - San Miguel (1)","2.500","28.60","-28.60","-28.60","Perso","Bet365","","","","","","","","","","","",""
"01/06/2025 02:33","Singola","Football","Urawa Red - Yokohama FC (2)","4.100","18.15","-18.15","-18.15","Perso","Bet365","","","","","","","","","","","",""
